Recording name,Event,Timestamp [μs]
Recording 1,robot_start,2260000
Recording 1,robot_end,10800000
Recording 1,robot_start,11980000
Recording 1,robot_end,13140000
Recording 1,participant_start,15520000
Recording 1,participant_end,18220000
Recording 1,robot_start,22440000
Recording 1,robot_end,47620000
Recording 1,participant_start,48660000
Recording 1,participant_end,58440000
Recording 1,robot_start,64080000
Recording 1,robot_end,72410000
Recording 1,participant_start,74300000
Recording 1,participant_end,110940000
Recording 1,robot_start,115320000
Recording 1,robot_end,121700000
Recording 1,participant_start,121700000
Recording 1,participant_end,122620000
Recording 1,robot_start,128120000
Recording 1,robot_end,135080000
Recording 1,participant_start,136660000
Recording 1,participant_end,147760000
Recording 1,participant_start,149100000
Recording 1,participant_end,149540000
Recording 1,participant_start,150560000
Recording 1,participant_end,188269000
Recording 1,participant_start,189910000
Recording 1,participant_end,191420000
Recording 1,robot_start,196140000
Recording 1,robot_end,204580000
Recording 1,participant_start,206520000
Recording 1,participant_end,236640000
Recording 1,participant_start,237760000
Recording 1,participant_end,239380000
Recording 1,participant_start,240660000
Recording 1,participant_end,255959000
Recording 1,robot_start,263660000
Recording 1,robot_end,270300000
Recording 1,participant_start,271440000
Recording 1,participant_end,275940000
Recording 1,participant_start,277360000
Recording 1,participant_end,286700000
Recording 1,robot_start,292140000
Recording 1,robot_end,298360000
Recording 1,participant_start,299760000
Recording 1,participant_end,330440000
Recording 1,participant_start,331540000
Recording 1,participant_end,335300000
Recording 1,robot_start,340600000
Recording 1,robot_end,352040000
Recording 1,participant_start,355500000
Recording 1,participant_end,356480000
Recording 1,participant_start,357660000
Recording 1,participant_end,386424000
Recording 1,robot_start,391164000
Recording 1,robot_end,398024000
Recording 1,participant_start,400524000
Recording 1,participant_end,411004000
Recording 1,robot_start,415944000
Recording 1,robot_end,421824000
Recording 1,participant_start,423244000
Recording 1,participant_end,440804000
Recording 1,robot_start,445724000
Recording 1,robot_end,473544000
Recording 1,participant_start,473544000
Recording 1,participant_end,475004000
Recording 1,participant_start,479924000
Recording 1,participant_end,488464000
Recording 2,robot_start,2200000
Recording 2,robot_end,10940000
Recording 2,robot_start,12160000
Recording 2,robot_end,13220000
Recording 2,participant_start,14740000
Recording 2,participant_end,25780000
Recording 2,robot_start,30480000
Recording 2,robot_end,33620000
Recording 2,participant_start,34740000
Recording 2,participant_end,41400000
Recording 2,robot_start,46220000
Recording 2,robot_end,50260000
Recording 2,participant_start,50260000
Recording 2,participant_end,55040000
